symbol,date,open,close,high,low,volume,factor
^NSEI,2015-04-24,8405.7001953125,8305.25,8413.2998046875,8273.349609375,173600,1.0
^NSEI,2015-04-27,8330.5498046875,8213.7998046875,8334.4501953125,8202.349609375,171500,1.0
^NSEI,2015-04-28,8215.5498046875,8285.599609375,8308.0,8185.14990234375,174600,1.0
^NSEI,2015-04-29,8274.7998046875,8239.75,8308.2001953125,8219.2001953125,160400,1.0
^NSEI,2015-04-30,8224.5,8181.5,8229.400390625,8144.75,267700,1.0
^NSEI,2015-05-04,8230.0498046875,8331.9501953125,8346.0,8220.4501953125,131700,1.0
^NSEI,2015-05-05,8338.400390625,8324.7998046875,8355.650390625,8280.599609375,155500,1.0
^NSEI,2015-05-06,8316.599609375,8097.0,8331.9501953125,8083.0,209600,1.0
^NSEI,2015-05-07,8077.0,8057.2998046875,8122.60009765625,7997.14990234375,161600,1.0
^NSEI,2015-05-08,8131.5,8191.5,8224.9501953125,8123.4501953125,183100,1.0
^NSEI,2015-05-11,8243.2001953125,8325.25,8332.75,8224.650390625,192000,1.0
^NSEI,2015-05-12,8326.150390625,8126.9501953125,8326.650390625,8115.2998046875,173400,1.0
^NSEI,2015-05-13,8181.5498046875,8235.4501953125,8254.9501953125,8089.7998046875,169800,1.0
^NSEI,2015-05-14,8232.4501953125,8224.2001953125,8236.25,8137.2998046875,134800,1.0
^NSEI,2015-05-15,8240.2998046875,8262.349609375,8279.2001953125,8212.2001953125,129800,1.0
^NSEI,2015-05-18,8284.9501953125,8373.650390625,8384.599609375,8271.9501953125,148700,1.0
^NSEI,2015-05-19,8356.2001953125,8365.650390625,8427.7998046875,8335.0,140300,1.0
^NSEI,2015-05-20,8392.650390625,8423.25,8440.349609375,8391.4501953125,123600,1.0
^NSEI,2015-05-21,8434.5,8421.0,8446.349609375,8382.5,143800,1.0
^NSEI,2015-05-22,8432.5,8458.9501953125,8489.5498046875,8420.599609375,187300,1.0
^NSEI,2015-05-25,8438.150390625,8370.25,8441.9501953125,8364.150390625,121300,1.0
^NSEI,2015-05-26,8377.099609375,8339.349609375,8378.900390625,8320.0498046875,116800,1.0
^NSEI,2015-05-27,8302.75,8334.599609375,8342.849609375,8277.9501953125,165500,1.0
^NSEI,2015-05-28,8345.7001953125,8319.0,8364.5,8270.150390625,232300,1.0
^NSEI,2015-05-29,8327.099609375,8433.650390625,8443.900390625,8305.7001953125,363900,1.0
^NSEI,2015-06-01,8417.25,8433.400390625,8467.150390625,8405.400390625,122200,1.0
^NSEI,2015-06-02,8442.7998046875,8236.4501953125,8445.349609375,8226.0498046875,146800,1.0
^NSEI,2015-06-03,8232.4501953125,8135.10009765625,8236.7001953125,8094.14990234375,171400,1.0
^NSEI,2015-06-04,8155.14990234375,8130.64990234375,8160.0498046875,8056.75,154700,1.0
^NSEI,2015-06-05,8119.14990234375,8114.7001953125,8191.0,8100.14990234375,162100,1.0
^NSEI,2015-06-08,8124.35009765625,8044.14990234375,8131.0,8030.5498046875,135900,1.0
^NSEI,2015-06-09,8026.5,8022.39990234375,8057.14990234375,8005.14990234375,136000,1.0
^NSEI,2015-06-10,8024.14990234375,8124.4501953125,8152.25,8023.7998046875,136800,1.0
^NSEI,2015-06-11,8157.2998046875,7965.35009765625,8163.0498046875,7958.25,166200,1.0
^NSEI,2015-06-12,7959.85009765625,7982.89990234375,7995.60009765625,7940.2998046875,136600,1.0
^NSEI,2015-06-15,7986.60009765625,8013.89990234375,8057.7001953125,7944.85009765625,133000,1.0
^NSEI,2015-06-16,8004.2001953125,8047.2998046875,8061.85009765625,7952.35009765625,124000,1.0
^NSEI,2015-06-17,8084.2001953125,8091.5498046875,8136.85009765625,8048.9501953125,152500,1.0
^NSEI,2015-06-18,8113.7001953125,8174.60009765625,8186.89990234375,8101.7998046875,144800,1.0
^NSEI,2015-06-19,8201.150390625,8224.9501953125,8250.7998046875,8195.650390625,147100,1.0
^NSEI,2015-06-22,8259.2998046875,8353.099609375,8369.4501953125,8257.400390625,122700,1.0
^NSEI,2015-06-23,8377.4501953125,8381.5498046875,8398.4501953125,8334.9501953125,131700,1.0
^NSEI,2015-06-24,8399.400390625,8360.849609375,8421.349609375,8338.900390625,130100,1.0
^NSEI,2015-06-25,8336.25,8398.0,8423.150390625,8329.5,201200,1.0
^NSEI,2015-06-26,8393.9501953125,8381.099609375,8408.5498046875,8339.7001953125,110600,1.0
^NSEI,2015-06-29,8247.0498046875,8318.400390625,8329.4501953125,8195.650390625,132000,1.0
^NSEI,2015-06-30,8316.349609375,8368.5,8378.0,8298.9501953125,158500,1.0
^NSEI,2015-07-01,8376.25,8453.0498046875,8481.599609375,8370.150390625,131800,1.0
^NSEI,2015-07-02,8471.9501953125,8444.900390625,8479.25,8433.2001953125,112000,1.0
^NSEI,2015-07-03,8440.099609375,8484.900390625,8497.75,8424.150390625,88400,1.0
^NSEI,2015-07-06,8386.150390625,8522.150390625,8533.150390625,8386.150390625,101500,1.0
^NSEI,2015-07-07,8525.5,8510.7998046875,8561.349609375,8483.849609375,122200,1.0
^NSEI,2015-07-08,8439.2001953125,8363.0498046875,8457.5,8341.400390625,188100,1.0
^NSEI,2015-07-09,8364.849609375,8328.5498046875,8400.2998046875,8323.0,131300,1.0
^NSEI,2015-07-10,8365.7001953125,8360.5498046875,8377.099609375,8315.400390625,154100,1.0
^NSEI,2015-07-13,8397.25,8459.650390625,8471.650390625,8355.400390625,117800,1.0
^NSEI,2015-07-14,8470.599609375,8454.099609375,8480.25,8424.099609375,101700,1.0
^NSEI,2015-07-15,8463.400390625,8523.7998046875,8531.400390625,8462.9501953125,105500,1.0
^NSEI,2015-07-16,8546.150390625,8608.0498046875,8616.099609375,8542.900390625,116000,1.0
^NSEI,2015-07-17,8623.650390625,8609.849609375,8642.9501953125,8593.150390625,105000,1.0
^NSEI,2015-07-20,8623.900390625,8603.4501953125,8624.099609375,8559.0,90600,1.0
^NSEI,2015-07-21,8601.5,8529.4501953125,8646.75,8517.900390625,164100,1.0
^NSEI,2015-07-22,8512.25,8633.5,8643.900390625,8498.650390625,136800,1.0
^NSEI,2015-07-23,8643.9501953125,8589.7998046875,8654.75,8573.7998046875,132900,1.0
^NSEI,2015-07-24,8588.150390625,8521.5498046875,8589.150390625,8513.5,127400,1.0
^NSEI,2015-07-27,8492.099609375,8361.0,8492.2001953125,8351.5498046875,136600,1.0
^NSEI,2015-07-28,8371.099609375,8337.0,8397.400390625,8321.75,174600,1.0
^NSEI,2015-07-29,8365.599609375,8375.0498046875,8381.5,8338.4501953125,141000,1.0
^NSEI,2015-07-30,8417.0,8421.7998046875,8458.900390625,8408.2998046875,215200,1.0
^NSEI,2015-07-31,8456.099609375,8532.849609375,8548.9501953125,8448.0,203300,1.0
^NSEI,2015-08-03,8510.650390625,8543.0498046875,8563.9501953125,8508.099609375,156700,1.0
^NSEI,2015-08-04,8564.099609375,8516.900390625,8565.150390625,8448.25,187400,1.0
^NSEI,2015-08-05,8547.4501953125,8567.9501953125,8591.849609375,8545.849609375,132800,1.0
^NSEI,2015-08-06,8585.7998046875,8588.650390625,8606.2998046875,8551.5,134900,1.0
^NSEI,2015-08-07,8580.7998046875,8564.599609375,8595.9501953125,8552.7001953125,143700,1.0
^NSEI,2015-08-10,8577.0,8525.599609375,8621.5498046875,8497.7998046875,123400,1.0
^NSEI,2015-08-11,8548.4501953125,8462.349609375,8556.25,8441.2998046875,154400,1.0
^NSEI,2015-08-12,8445.7001953125,8349.4501953125,8446.9501953125,8337.9501953125,190000,1.0
^NSEI,2015-08-13,8384.4501953125,8355.849609375,8429.5,8339.75,189200,1.0
^NSEI,2015-08-14,8402.349609375,8518.5498046875,8530.099609375,8381.2001953125,155900,1.0
^NSEI,2015-08-17,8530.5,8477.2998046875,8530.599609375,8428.0498046875,174700,1.0
^NSEI,2015-08-18,8505.849609375,8466.5498046875,8525.75,8433.599609375,153300,1.0
^NSEI,2015-08-19,8468.0498046875,8495.150390625,8520.4501953125,8425.9501953125,130500,1.0
^NSEI,2015-08-20,8471.0498046875,8372.75,8501.349609375,8359.75,184100,1.0
^NSEI,2015-08-21,8305.400390625,8299.9501953125,8322.2001953125,8225.0498046875,201300,1.0
^NSEI,2015-08-24,8055.9501953125,7809.0,8060.0498046875,7769.39990234375,312400,1.0
^NSEI,2015-08-25,7895.39990234375,7880.7001953125,7925.39990234375,7667.25,299100,1.0
^NSEI,2015-08-26,7865.25,7791.85009765625,7930.0498046875,7777.10009765625,216600,1.0
^NSEI,2015-08-27,7921.60009765625,7948.9501953125,7963.60009765625,7862.2998046875,305000,1.0
^NSEI,2015-08-28,8053.7001953125,8001.9501953125,8091.7998046875,7961.64990234375,195600,1.0
^NSEI,2015-08-31,8009.25,7971.2998046875,8043.60009765625,7947.9501953125,198200,1.0
^NSEI,2015-09-01,7907.9501953125,7785.85009765625,7929.10009765625,7746.5,184900,1.0
^NSEI,2015-09-02,7856.64990234375,7717.0,7862.5498046875,7699.25,215300,1.0
^NSEI,2015-09-03,7774.4501953125,7823.0,7845.60009765625,7754.0498046875,155800,1.0
^NSEI,2015-09-04,7803.39990234375,7655.0498046875,7804.89990234375,7626.85009765625,193600,1.0
^NSEI,2015-09-07,7685.85009765625,7558.7998046875,7705.0498046875,7545.89990234375,141400,1.0
^NSEI,2015-09-08,7587.7001953125,7688.25,7720.89990234375,7539.5,172200,1.0
^NSEI,2015-09-09,7805.85009765625,7818.60009765625,7846.0498046875,7764.5498046875,208400,1.0
^NSEI,2015-09-10,7729.0498046875,7788.10009765625,7819.85009765625,7678.5,160300,1.0
^NSEI,2015-09-11,7833.7998046875,7789.2998046875,7864.85009765625,7759.89990234375,136400,1.0
^NSEI,2015-09-14,7811.10009765625,7872.25,7879.9501953125,7761.85009765625,122800,1.0
^NSEI,2015-09-15,7867.35009765625,7829.10009765625,7880.0,7799.75,136500,1.0
^NSEI,2015-09-16,7886.85009765625,7899.14990234375,7913.89990234375,7853.2998046875,140000,1.0
^NSEI,2015-09-18,7967.4501953125,7981.89990234375,8055.0,7955.85009765625,241800,1.0
^NSEI,2015-09-21,7911.5,7977.10009765625,7987.89990234375,7908.35009765625,121800,1.0
^NSEI,2015-09-22,8014.7998046875,7812.0,8021.60009765625,7787.75,168400,1.0
^NSEI,2015-09-23,7737.35009765625,7845.9501953125,7882.89990234375,7723.25,146700,1.0
^NSEI,2015-09-24,7838.39990234375,7868.5,7894.5,7804.10009765625,202500,1.0
^NSEI,2015-09-28,7892.7998046875,7795.7001953125,7893.9501953125,7787.9501953125,136300,1.0
^NSEI,2015-09-29,7725.7001953125,7843.2998046875,7926.5498046875,7691.2001953125,240700,1.0
^NSEI,2015-09-30,7924.25,7948.89990234375,7957.7001953125,7874.5,210700,1.0
^NSEI,2015-10-01,7992.0498046875,7950.89990234375,8008.25,7930.64990234375,156900,1.0
^NSEI,2015-10-05,8005.10009765625,8119.2998046875,8128.89990234375,8005.10009765625,183100,1.0
^NSEI,2015-10-06,8180.4501953125,8152.89990234375,8180.9501953125,8096.5,178500,1.0
^NSEI,2015-10-07,8146.2001953125,8177.39990234375,8188.89990234375,8132.89990234375,193900,1.0
^NSEI,2015-10-08,8196.75,8129.35009765625,8196.75,8105.85009765625,171700,1.0
^NSEI,2015-10-09,8186.35009765625,8189.7001953125,8232.2001953125,8139.64990234375,199700,1.0
^NSEI,2015-10-12,8231.5,8143.60009765625,8244.5,8128.2001953125,199100,1.0
^NSEI,2015-10-13,8121.9501953125,8131.7001953125,8150.25,8088.60009765625,145900,1.0
^NSEI,2015-10-14,8102.39990234375,8107.89990234375,8139.2998046875,8096.35009765625,138900,1.0
^NSEI,2015-10-15,8134.35009765625,8179.5,8190.5498046875,8129.7998046875,167200,1.0
^NSEI,2015-10-16,8193.650390625,8238.150390625,8246.400390625,8147.64990234375,156400,1.0
^NSEI,2015-10-19,8262.5498046875,8275.0498046875,8283.0498046875,8239.2001953125,124500,1.0
^NSEI,2015-10-20,8280.2998046875,8261.650390625,8294.0498046875,8229.2001953125,155100,1.0
^NSEI,2015-10-21,8258.349609375,8251.7001953125,8294.400390625,8217.150390625,144800,1.0
^NSEI,2015-10-23,8308.25,8295.4501953125,8328.099609375,8280.75,152000,1.0
^NSEI,2015-10-26,8333.650390625,8260.5498046875,8336.2998046875,8252.0498046875,133900,1.0
^NSEI,2015-10-27,8230.349609375,8232.900390625,8241.9501953125,8217.0498046875,156700,1.0
^NSEI,2015-10-28,8188.89990234375,8171.2001953125,8209.099609375,8131.7998046875,188900,1.0
^NSEI,2015-10-29,8175.4501953125,8111.75,8179.60009765625,8098.0,217500,1.0
^NSEI,2015-10-30,8123.5498046875,8065.7998046875,8146.10009765625,8044.39990234375,199500,1.0
^NSEI,2015-11-02,8054.5498046875,8050.7998046875,8060.7001953125,7995.60009765625,136100,1.0
^NSEI,2015-11-03,8086.35009765625,8060.7001953125,8100.35009765625,8031.75,132500,1.0
^NSEI,2015-11-04,8104.89990234375,8040.2001953125,8116.10009765625,8027.2998046875,122100,1.0
^NSEI,2015-11-05,8030.35009765625,7955.4501953125,8031.2001953125,7944.10009765625,132100,1.0
^NSEI,2015-11-06,7956.5498046875,7954.2998046875,8002.64990234375,7926.14990234375,219500,1.0
^NSEI,2015-11-09,7788.25,7915.2001953125,7937.75,7771.7001953125,211800,1.0
^NSEI,2015-11-10,7877.60009765625,7783.35009765625,7885.10009765625,7772.85009765625,165200,1.0
^NSEI,2015-11-13,7762.4501953125,7762.25,7775.10009765625,7730.89990234375,160900,1.0
^NSEI,2015-11-16,7732.9501953125,7806.60009765625,7838.85009765625,7714.14990234375,149500,1.0
^NSEI,2015-11-17,7848.75,7837.5498046875,7860.4501953125,7793.0,145000,1.0
^NSEI,2015-11-18,7823.14990234375,7731.7998046875,7843.39990234375,7725.0498046875,143600,1.0
^NSEI,2015-11-19,7788.5,7842.75,7854.89990234375,7765.4501953125,132600,1.0
^NSEI,2015-11-20,7841.89990234375,7856.5498046875,7906.9501953125,7817.7998046875,151900,1.0
^NSEI,2015-11-23,7869.5,7849.25,7877.5,7825.2001953125,127000,1.0
^NSEI,2015-11-24,7837.0,7831.60009765625,7870.35009765625,7812.64990234375,130600,1.0
^NSEI,2015-11-26,7837.14990234375,7883.7998046875,7897.10009765625,7832.0,219800,1.0
^NSEI,2015-11-27,7910.60009765625,7942.7001953125,7959.2998046875,7879.4501953125,150300,1.0
^NSEI,2015-11-30,7936.25,7935.25,7966.0,7922.7998046875,216300,1.0
^NSEI,2015-12-01,7958.14990234375,7954.89990234375,7972.14990234375,7934.14990234375,138600,1.0
^NSEI,2015-12-02,7976.7001953125,7931.35009765625,7979.2998046875,7910.7998046875,126300,1.0
^NSEI,2015-12-03,7902.2998046875,7864.14990234375,7912.2998046875,7853.2998046875,125700,1.0
^NSEI,2015-12-04,7817.60009765625,7781.89990234375,7821.39990234375,7775.7001953125,152500,1.0
^NSEI,2015-12-07,7816.5498046875,7765.39990234375,7825.39990234375,7746.0498046875,137600,1.0
^NSEI,2015-12-08,7738.5,7701.7001953125,7771.25,7685.4501953125,135100,1.0
^NSEI,2015-12-09,7695.5,7612.5,7702.85009765625,7606.89990234375,140000,1.0
^NSEI,2015-12-10,7643.2998046875,7683.2998046875,7691.9501953125,7610.0,140800,1.0
^NSEI,2015-12-11,7699.60009765625,7610.4501953125,7703.0498046875,7575.2998046875,167800,1.0
^NSEI,2015-12-14,7558.2001953125,7650.0498046875,7663.9501953125,7551.0498046875,148900,1.0
^NSEI,2015-12-15,7659.14990234375,7700.89990234375,7705.0,7625.10009765625,134300,1.0
^NSEI,2015-12-16,7725.25,7750.89990234375,7776.60009765625,7715.75,154300,1.0
^NSEI,2015-12-17,7783.0498046875,7844.35009765625,7852.89990234375,7737.5498046875,175900,1.0
^NSEI,2015-12-18,7828.89990234375,7761.9501953125,7836.14990234375,7753.35009765625,191400,1.0
^NSEI,2015-12-21,7745.64990234375,7834.4501953125,7840.75,7733.4501953125,126300,1.0
^NSEI,2015-12-22,7829.39990234375,7786.10009765625,7846.2998046875,7776.85009765625,125700,1.0
^NSEI,2015-12-23,7830.4501953125,7865.9501953125,7871.4501953125,7826.10009765625,117900,1.0
^NSEI,2015-12-24,7888.75,7861.0498046875,7888.75,7835.5,93500,1.0
^NSEI,2015-12-28,7863.2001953125,7925.14990234375,7937.2001953125,7863.0,122900,1.0
^NSEI,2015-12-29,7929.2001953125,7928.9501953125,7942.14990234375,7902.75,113000,1.0
^NSEI,2015-12-30,7938.60009765625,7896.25,7944.75,7889.85009765625,106800,1.0
^NSEI,2015-12-31,7897.7998046875,7946.35009765625,7955.5498046875,7891.14990234375,150900,1.0
^NSEI,2016-01-04,7924.5498046875,7791.2998046875,7937.5498046875,7781.10009765625,134700,1.0
^NSEI,2016-01-05,7828.39990234375,7784.64990234375,7831.2001953125,7763.25,145200,1.0
^NSEI,2016-01-06,7788.0498046875,7741.0,7800.9501953125,7721.2001953125,147100,1.0
^NSEI,2016-01-07,7673.35009765625,7568.2998046875,7674.9501953125,7556.60009765625,188900,1.0
^NSEI,2016-01-08,7611.64990234375,7601.35009765625,7634.10009765625,7581.0498046875,157400,1.0
^NSEI,2016-01-11,7527.4501953125,7563.85009765625,7605.10009765625,7494.35009765625,189000,1.0
^NSEI,2016-01-12,7587.2001953125,7510.2998046875,7588.2998046875,7487.7998046875,163900,1.0
^NSEI,2016-01-13,7557.89990234375,7562.39990234375,7590.9501953125,7425.7998046875,215200,1.0
^NSEI,2016-01-14,7467.39990234375,7536.7998046875,7604.7998046875,7443.7998046875,200800,1.0
^NSEI,2016-01-15,7561.64990234375,7437.7998046875,7566.5,7427.2998046875,197500,1.0
^NSEI,2016-01-18,7420.35009765625,7351.0,7463.64990234375,7336.39990234375,233600,1.0
^NSEI,2016-01-19,7381.7998046875,7435.10009765625,7462.75,7364.14990234375,188300,1.0
^NSEI,2016-01-20,7357.0,7309.2998046875,7470.89990234375,7241.5,225600,1.0
^NSEI,2016-01-21,7376.64990234375,7276.7998046875,7398.7001953125,7250.0,240700,1.0
^NSEI,2016-01-22,7355.7001953125,7422.4501953125,7433.39990234375,7327.60009765625,229200,1.0
^NSEI,2016-01-25,7468.75,7436.14990234375,7487.14990234375,7421.2001953125,163200,1.0
^NSEI,2016-01-27,7469.60009765625,7437.75,7477.89990234375,7419.7001953125,187600,1.0
^NSEI,2016-01-28,7426.5,7424.64990234375,7468.85009765625,7409.60009765625,274500,1.0
^NSEI,2016-01-29,7413.35009765625,7563.5498046875,7575.64990234375,7402.7998046875,298700,1.0
^NSEI,2016-02-01,7589.5,7555.9501953125,7600.4501953125,7541.25,200400,1.0
^NSEI,2016-02-02,7566.64990234375,7455.5498046875,7576.2998046875,7428.0498046875,230200,1.0
^NSEI,2016-02-03,7392.4501953125,7361.7998046875,7419.39990234375,7350.2998046875,192000,1.0
^NSEI,2016-02-04,7411.4501953125,7404.0,7457.0498046875,7365.9501953125,222700,1.0
^NSEI,2016-02-05,7418.25,7489.10009765625,7503.14990234375,7406.64990234375,249800,1.0
^NSEI,2016-02-08,7489.7001953125,7387.25,7512.5498046875,7363.2001953125,171500,1.0
^NSEI,2016-02-09,7303.9501953125,7298.2001953125,7323.4501953125,7275.14990234375,212100,1.0
^NSEI,2016-02-10,7264.2998046875,7215.7001953125,7271.85009765625,7177.75,246900,1.0
^NSEI,2016-02-11,7203.60009765625,6976.35009765625,7208.64990234375,6959.9501953125,292300,1.0
^NSEI,2016-02-12,7023.64990234375,6980.9501953125,7034.7998046875,6869.0,333900,1.0
^NSEI,2016-02-15,7057.35009765625,7162.9501953125,7182.7998046875,7056.7998046875,354200,1.0
^NSEI,2016-02-16,7201.25,7048.25,7204.64990234375,7037.7001953125,253800,1.0
^NSEI,2016-02-17,7058.85009765625,7108.4501953125,7123.7001953125,6960.64990234375,260000,1.0
^NSEI,2016-02-18,7177.39990234375,7191.75,7215.10009765625,7127.85009765625,246700,1.0
^NSEI,2016-02-19,7170.5498046875,7210.75,7226.85009765625,7145.9501953125,192300,1.0
^NSEI,2016-02-22,7208.85009765625,7234.5498046875,7252.39990234375,7200.7001953125,154400,1.0
^NSEI,2016-02-23,7240.2998046875,7109.5498046875,7241.7001953125,7090.7001953125,194400,1.0
^NSEI,2016-02-24,7075.0,7018.7001953125,7090.7998046875,7009.75,199700,1.0
^NSEI,2016-02-25,7029.85009765625,6970.60009765625,7034.2001953125,6961.39990234375,283100,1.0
^NSEI,2016-02-26,7039.2998046875,7029.75,7052.89990234375,6985.10009765625,206700,1.0
^NSEI,2016-02-29,7050.4501953125,6987.0498046875,7094.60009765625,6825.7998046875,473400,1.0
^NSEI,2016-03-01,7038.25,7222.2998046875,7235.5,7035.10009765625,275100,1.0
^NSEI,2016-03-02,7321.7001953125,7368.85009765625,7380.35009765625,7308.14990234375,338500,1.0
^NSEI,2016-03-03,7429.5498046875,7475.60009765625,7483.9501953125,7406.0498046875,278600,1.0
^NSEI,2016-03-04,7505.39990234375,7485.35009765625,7505.89990234375,7444.10009765625,281700,1.0
^NSEI,2016-03-08,7486.39990234375,7485.2998046875,7527.14990234375,7442.14990234375,257000,1.0
^NSEI,2016-03-09,7436.10009765625,7531.7998046875,7539.0,7424.2998046875,245100,1.0
^NSEI,2016-03-10,7545.35009765625,7486.14990234375,7547.10009765625,7447.39990234375,224700,1.0
^NSEI,2016-03-11,7484.85009765625,7510.2001953125,7543.9501953125,7460.60009765625,198700,1.0
^NSEI,2016-03-14,7542.60009765625,7538.75,7583.7001953125,7515.0498046875,166900,1.0
^NSEI,2016-03-15,7535.85009765625,7460.60009765625,7545.2001953125,7452.7998046875,193700,1.0
^NSEI,2016-03-16,7457.0498046875,7498.75,7508.0,7405.14990234375,195400,1.0
^NSEI,2016-03-17,7557.39990234375,7512.5498046875,7585.2998046875,7479.39990234375,239600,1.0
^NSEI,2016-03-18,7534.64990234375,7604.35009765625,7613.60009765625,7517.89990234375,237400,1.0
^NSEI,2016-03-21,7619.2001953125,7704.25,7713.5498046875,7617.7001953125,196800,1.0
^NSEI,2016-03-22,7695.5498046875,7714.89990234375,7728.2001953125,7643.7998046875,208900,1.0
^NSEI,2016-03-23,7717.4501953125,7716.5,7726.85009765625,7670.60009765625,199600,1.0
^NSEI,2016-03-28,7741.0,7615.10009765625,7749.39990234375,7587.7001953125,242400,1.0
^NSEI,2016-03-29,7606.5498046875,7597.0,7652.89990234375,7582.25,216800,1.0
^NSEI,2016-03-30,7651.10009765625,7735.2001953125,7741.9501953125,7643.4501953125,232600,1.0
^NSEI,2016-03-31,7727.64990234375,7738.39990234375,7777.60009765625,7702.0,380100,1.0
^NSEI,2016-04-01,7718.0498046875,7713.0498046875,7740.14990234375,7666.10009765625,183900,1.0
^NSEI,2016-04-04,7733.14990234375,7758.7998046875,7764.4501953125,7704.39990234375,155500,1.0
^NSEI,2016-04-05,7736.2998046875,7603.2001953125,7736.2998046875,7588.64990234375,203800,1.0
^NSEI,2016-04-06,7636.0498046875,7614.35009765625,7638.64990234375,7591.75,165600,1.0
