symbol,date,open,close,high,low,volume,factor,sma_20,ema_20,macd,macd_signal,rsi,stoch,stoch_signal,bb_high,bb_low,bb_mid,atr,obv,mfi
^NSEI,2015-04-24,8405.7001953125,8305.25,8413.2998046875,8273.349609375,173600,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,173600,50.13423296359842
^NSEI,2015-04-27,8330.5498046875,8213.7998046875,8334.4501953125,8202.349609375,171500,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,2100,50.13423296359842
^NSEI,2015-04-28,8215.5498046875,8285.599609375,8308.0,8185.14990234375,174600,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,176700,50.13423296359842
^NSEI,2015-04-29,8274.7998046875,8239.75,8308.2001953125,8219.2001953125,160400,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,16300,50.13423296359842
^NSEI,2015-04-30,8224.5,8181.5,8229.400390625,8144.75,267700,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-251400,50.13423296359842
^NSEI,2015-05-04,8230.0498046875,8331.9501953125,8346.0,8220.4501953125,131700,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-119700,50.13423296359842
^NSEI,2015-05-05,8338.400390625,8324.7998046875,8355.650390625,8280.599609375,155500,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-275200,50.13423296359842
^NSEI,2015-05-06,8316.599609375,8097.0,8331.9501953125,8083.0,209600,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-484800,50.13423296359842
^NSEI,2015-05-07,8077.0,8057.2998046875,8122.60009765625,7997.14990234375,161600,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-646400,50.13423296359842
^NSEI,2015-05-08,8131.5,8191.5,8224.9501953125,8123.4501953125,183100,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-463300,50.13423296359842
^NSEI,2015-05-11,8243.2001953125,8325.25,8332.75,8224.650390625,192000,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-271300,50.13423296359842
^NSEI,2015-05-12,8326.150390625,8126.9501953125,8326.650390625,8115.2998046875,173400,1.0,8272.25751953125,8308.492601548765,35.20259540421648,-28.19455140462904,48.46803196799252,54.559737174034204,75.23615949319885,8486.831522373823,8057.683516688677,8272.25751953125,0.0,-444700,50.13423296359842
