symbol,date,open,close,high,low,volume,factor
^NSEI,2023-04-17,17863.0,17706.849609375,17863.0,17574.05078125,357400,1.0
^NSEI,2023-04-18,17766.599609375,17660.150390625,17766.599609375,17610.19921875,258900,1.0
^NSEI,2023-04-19,17653.349609375,17618.75,17666.150390625,17579.849609375,281500,1.0
^NSEI,2023-04-20,17638.599609375,17624.44921875,17684.44921875,17584.349609375,215100,1.0
^NSEI,2023-04-21,17639.75,17624.05078125,17663.19921875,17553.94921875,230200,1.0
^NSEI,2023-04-24,17707.55078125,17743.400390625,17754.5,17612.5,255700,1.0
^NSEI,2023-04-25,17761.55078125,17769.25,17807.44921875,17716.849609375,297400,1.0
^NSEI,2023-04-26,17767.30078125,17813.599609375,17827.75,17711.19921875,233000,1.0
^NSEI,2023-04-27,17813.099609375,17915.05078125,17931.599609375,17797.900390625,241400,1.0
^NSEI,2023-04-28,17950.400390625,18065.0,18089.150390625,17885.30078125,290300,1.0
^NSEI,2023-05-02,18124.80078125,18147.650390625,18180.25,18101.75,265200,1.0
^NSEI,2023-05-03,18113.80078125,18089.849609375,18116.349609375,18042.400390625,226200,1.0
^NSEI,2023-05-04,18081.0,18255.80078125,18267.44921875,18066.69921875,226600,1.0
^NSEI,2023-05-05,18117.30078125,18069.0,18216.94921875,18055.44921875,239700,1.0
^NSEI,2023-05-08,18120.599609375,18264.400390625,18286.94921875,18100.30078125,228400,1.0
^NSEI,2023-05-09,18303.400390625,18265.94921875,18344.19921875,18229.650390625,245400,1.0
^NSEI,2023-05-10,18313.599609375,18315.099609375,18326.75,18211.94921875,220500,1.0
^NSEI,2023-05-11,18357.80078125,18297.0,18389.69921875,18270.400390625,248900,1.0
^NSEI,2023-05-12,18273.75,18314.80078125,18342.75,18194.55078125,241700,1.0
^NSEI,2023-05-15,18339.30078125,18398.849609375,18458.900390625,18287.900390625,216100,1.0
^NSEI,2023-05-16,18432.349609375,18286.5,18432.349609375,18264.349609375,219500,1.0
^NSEI,2023-05-17,18300.44921875,18181.75,18309.0,18115.349609375,229900,1.0
^NSEI,2023-05-18,18287.5,18129.94921875,18297.19921875,18104.849609375,272100,1.0
^NSEI,2023-05-19,18186.150390625,18203.400390625,18218.099609375,18060.400390625,260900,1.0
^NSEI,2023-05-22,18201.099609375,18314.400390625,18335.25,18178.849609375,262600,1.0
^NSEI,2023-05-23,18362.900390625,18348.0,18419.75,18324.19921875,270400,1.0
^NSEI,2023-05-24,18294.80078125,18285.400390625,18392.599609375,18262.94921875,232600,1.0
^NSEI,2023-05-25,18268.900390625,18321.150390625,18338.099609375,18202.400390625,235900,1.0
^NSEI,2023-05-26,18368.349609375,18499.349609375,18508.55078125,18333.150390625,198700,1.0
^NSEI,2023-05-29,18619.150390625,18598.650390625,18641.19921875,18581.25,265300,1.0
^NSEI,2023-05-30,18606.650390625,18633.849609375,18662.44921875,18575.5,234400,1.0
^NSEI,2023-05-31,18594.19921875,18534.400390625,18603.900390625,18483.849609375,696500,1.0
^NSEI,2023-06-01,18579.400390625,18487.75,18580.30078125,18464.55078125,265600,1.0
^NSEI,2023-06-02,18550.849609375,18534.099609375,18573.69921875,18478.400390625,270900,1.0
^NSEI,2023-06-05,18612.0,18593.849609375,18640.150390625,18582.80078125,256100,1.0
^NSEI,2023-06-06,18600.80078125,18599.0,18622.75,18531.599609375,220800,1.0
^NSEI,2023-06-07,18665.599609375,18726.400390625,18738.94921875,18636.0,260100,1.0
^NSEI,2023-06-08,18725.349609375,18634.55078125,18777.900390625,18615.599609375,286500,1.0
^NSEI,2023-06-09,18655.900390625,18563.400390625,18676.650390625,18555.400390625,221800,1.0
^NSEI,2023-06-12,18595.05078125,18601.5,18633.599609375,18559.75,179500,1.0
^NSEI,2023-06-13,18631.80078125,18716.150390625,18728.900390625,18631.80078125,233200,1.0
^NSEI,2023-06-14,18744.599609375,18755.900390625,18769.69921875,18690.0,261400,1.0
^NSEI,2023-06-15,18774.44921875,18688.099609375,18794.099609375,18669.05078125,263000,1.0
^NSEI,2023-06-16,18723.30078125,18826.0,18864.69921875,18710.5,272800,1.0
^NSEI,2023-06-19,18873.30078125,18755.44921875,18881.44921875,18719.150390625,219800,1.0
^NSEI,2023-06-20,18752.349609375,18816.69921875,18839.69921875,18660.650390625,211600,1.0
^NSEI,2023-06-21,18849.400390625,18856.849609375,18875.900390625,18794.849609375,217500,1.0
^NSEI,2023-06-22,18853.599609375,18771.25,18886.599609375,18759.5,252700,1.0
^NSEI,2023-06-23,18741.849609375,18665.5,18756.400390625,18647.099609375,210600,1.0
^NSEI,2023-06-26,18682.349609375,18691.19921875,18722.05078125,18646.69921875,171300,1.0
^NSEI,2023-06-27,18748.55078125,18817.400390625,18829.25,18714.25,222500,1.0
^NSEI,2023-06-28,18908.150390625,18972.099609375,19011.25,18861.349609375,398800,1.0
^NSEI,2023-06-30,19076.849609375,19189.05078125,19201.69921875,19024.599609375,247900,1.0
^NSEI,2023-07-03,19246.5,19322.55078125,19345.099609375,19234.400390625,226100,1.0
^NSEI,2023-07-04,19406.599609375,19389.0,19434.150390625,19300.0,226900,1.0
^NSEI,2023-07-05,19405.94921875,19398.5,19421.599609375,19339.599609375,224400,1.0
^NSEI,2023-07-06,19385.69921875,19497.30078125,19512.19921875,19373.0,268300,1.0
^NSEI,2023-07-07,19422.80078125,19331.80078125,19523.599609375,19303.599609375,237100,1.0
^NSEI,2023-07-10,19400.349609375,19355.900390625,19435.849609375,19327.099609375,268200,1.0
^NSEI,2023-07-11,19427.099609375,19439.400390625,19515.099609375,19406.44921875,251300,1.0
^NSEI,2023-07-12,19497.44921875,19384.30078125,19507.69921875,19361.75,327900,1.0
^NSEI,2023-07-13,19495.19921875,19413.75,19567.0,19385.80078125,310400,1.0
^NSEI,2023-07-14,19493.44921875,19564.5,19595.349609375,19433.5,291200,1.0
^NSEI,2023-07-17,19612.150390625,19711.44921875,19731.849609375,19562.94921875,268700,1.0
^NSEI,2023-07-18,19787.5,19749.25,19819.44921875,19690.19921875,286400,1.0
^NSEI,2023-07-19,19802.94921875,19833.150390625,19851.69921875,19727.44921875,259700,1.0
^NSEI,2023-07-20,19831.69921875,19979.150390625,19991.849609375,19758.400390625,274700,1.0
^NSEI,2023-07-21,19800.44921875,19745.0,19887.400390625,19700.0,312500,1.0
^NSEI,2023-07-24,19748.44921875,19672.349609375,19782.75,19658.30078125,265600,1.0
^NSEI,2023-07-25,19729.349609375,19680.599609375,19729.349609375,19615.94921875,369700,1.0
^NSEI,2023-07-26,19733.349609375,19778.30078125,19825.599609375,19716.69921875,244700,1.0
^NSEI,2023-07-27,19850.900390625,19659.900390625,19867.55078125,19603.55078125,334900,1.0
^NSEI,2023-07-28,19659.75,19646.05078125,19695.900390625,19563.099609375,258700,1.0
^NSEI,2023-07-31,19666.349609375,19753.80078125,19772.75,19597.599609375,295100,1.0
^NSEI,2023-08-01,19784.0,19733.55078125,19795.599609375,19704.599609375,298000,1.0
^NSEI,2023-08-02,19655.400390625,19526.55078125,19678.25,19423.55078125,290700,1.0
^NSEI,2023-08-03,19463.75,19381.650390625,19537.650390625,19296.44921875,315700,1.0
^NSEI,2023-08-04,19462.80078125,19517.0,19538.849609375,19436.44921875,280800,1.0
^NSEI,2023-08-07,19576.849609375,19597.30078125,19620.44921875,19524.80078125,216600,1.0
^NSEI,2023-08-08,19627.19921875,19570.849609375,19634.400390625,19533.099609375,260300,1.0
^NSEI,2023-08-09,19578.80078125,19632.55078125,19645.5,19467.5,266500,1.0
^NSEI,2023-08-10,19605.55078125,19543.099609375,19623.599609375,19495.400390625,312200,1.0
^NSEI,2023-08-11,19554.25,19428.30078125,19557.75,19412.75,235500,1.0
^NSEI,2023-08-14,19383.94921875,19434.55078125,19465.849609375,19257.900390625,243900,1.0
^NSEI,2023-08-16,19369.0,19465.0,19482.75,19317.19921875,0,1.0
^NSEI,2023-08-17,19450.55078125,19365.25,19461.55078125,19326.25,268700,1.0
^NSEI,2023-08-18,19301.75,19310.150390625,19373.80078125,19253.599609375,256100,1.0
^NSEI,2023-08-21,19320.650390625,19393.599609375,19425.94921875,19296.30078125,262600,1.0
^NSEI,2023-08-22,19417.099609375,19396.44921875,19443.5,19381.30078125,208700,1.0
^NSEI,2023-08-23,19439.19921875,19444.0,19472.05078125,19366.599609375,225200,1.0
^NSEI,2023-08-24,19535.150390625,19386.69921875,19584.44921875,19369.0,268300,1.0
^NSEI,2023-08-25,19297.400390625,19265.80078125,19339.55078125,19229.69921875,466500,1.0
^NSEI,2023-08-28,19298.349609375,19306.05078125,19366.849609375,19249.69921875,248200,1.0
^NSEI,2023-08-29,19374.849609375,19342.650390625,19377.900390625,19309.099609375,307400,1.0
^NSEI,2023-08-30,19433.44921875,19347.44921875,19452.80078125,19334.75,233000,1.0
^NSEI,2023-08-31,19375.55078125,19253.80078125,19388.19921875,19223.650390625,562600,1.0
^NSEI,2023-09-01,19258.150390625,19435.30078125,19458.55078125,19255.69921875,333000,1.0
^NSEI,2023-09-04,19525.05078125,19528.80078125,19545.150390625,19432.849609375,296800,1.0
^NSEI,2023-09-05,19564.650390625,19574.900390625,19587.05078125,19525.75,256800,1.0
^NSEI,2023-09-06,19581.19921875,19611.05078125,19636.44921875,19491.5,287600,1.0
^NSEI,2023-09-07,19598.650390625,19727.05078125,19737.0,19550.05078125,304900,1.0
^NSEI,2023-09-08,19774.80078125,19819.94921875,19867.150390625,19727.05078125,288100,1.0
^NSEI,2023-09-11,19890.0,19996.349609375,20008.150390625,19865.349609375,248800,1.0
^NSEI,2023-09-12,20110.150390625,19993.19921875,20110.349609375,19914.650390625,328100,1.0
^NSEI,2023-09-13,19989.5,20070.0,20096.900390625,19944.099609375,251400,1.0
^NSEI,2023-09-14,20127.94921875,20103.099609375,20167.650390625,20043.44921875,275100,1.0
^NSEI,2023-09-15,20156.44921875,20192.349609375,20222.44921875,20129.69921875,438200,1.0
^NSEI,2023-09-18,20155.94921875,20133.30078125,20195.349609375,20115.69921875,264900,1.0
^NSEI,2023-09-20,19980.75,19901.400390625,20050.650390625,19878.849609375,378100,1.0
^NSEI,2023-09-21,19840.55078125,19742.349609375,19848.75,19709.94921875,275100,1.0
^NSEI,2023-09-22,19744.849609375,19674.25,19798.650390625,19657.5,246400,1.0
^NSEI,2023-09-25,19678.19921875,19674.55078125,19734.150390625,19601.55078125,188400,1.0
^NSEI,2023-09-26,19682.80078125,19664.69921875,19699.349609375,19637.44921875,204900,1.0
^NSEI,2023-09-27,19637.05078125,19716.44921875,19730.69921875,19554.0,203600,1.0
^NSEI,2023-09-28,19761.80078125,19523.55078125,19766.650390625,19492.099609375,352800,1.0
